id_sppg,nama,prov,kab,kec,desa,alamat,lat,lon,presisi,kode_kab_bps,kode_kec_bps
S18058,SPPG Karanganyar Mojogedang Gebyog,JAWA TENGAH,KARANGANYAR,MOJOGEDANG,GEBYOG,"Karangmendeng Rt. 01/Rw. 02 Desa Gebyog, Kecamatan Mojogedang, Kabupaten Karanganyar, Jawa Tengah",-7.54972,110.98643,kecamatan,3313,3313150
S18059,SPPG Kota Makassar Tamalanrea Tamalanrea 4,SULAWESI SELATAN,KOTA MAKASSAR,TAMALANREA,TAMALANREA,"BTN Hamzy No.C 18, Rt.002 Rw.02, Tamalanrea Indah, Kec. Tamalanrea, Kota Makassar, Sulawesi Selatan",-5.09352,119.47596,kecamatan,7371,7371111
S18060,SPPG Kediri Puncu Watugede 2,JAWA TIMUR,KEDIRI,PUNCU,WATUGEDE,"Jl. Pare Wates Sidomukti, Watugede, Kecamatan Puncu, Kabupaten Ediri, Jawa Timur",-7.85051,112.25032,kecamatan,3506,3506110
S18061,SPPG Pasangkayu Sarjo Sarude,SULAWESI BARAT,PASANGKAYU,SARJO,SARUDE,"Jl. Poros Majene - Mamuju Sarude, Kecamatan Sarjo, Kabupaten Pasangkayu, Sulawesi Barat",-0.91265,119.54557,kecamatan,7605,7605042
S18062,SPPG Bengkulu Utara Kota Arga Makmur Gunung Alam 2,BENGKULU,BENGKULU UTARA,KOTA ARGA MAKMUR,GUNUNG ALAM,"Jl. Mayor Iskandar Rt.003, Gunung Alam, Kota Arga Makmur, Kab. Bengkulu Utara, Bengkulu",-3.40132,102.2319,kecamatan,1703,1703060
S18063,SPPG Langkat Stabat Kwala Bingai 1,SUMATERA UTARA,LANGKAT,STABAT,KWALA BINGAI,"Perumahan Pemda, Jln. Garuda, no. 45, Kel. Kwala Bingai, Kec. Stabat, Kab. Langkat",3.75053,98.47053,kecamatan,1213,1213070
S18064,SPPG Jakut Koja Rawa Badak Utara 9,DKI JAKARTA,KOTA ADM. JAKARTA UTARA,KOJA,RAWA BADAK UTARA,"Jl. Cempaka No.27, Rt 003 Rw 012, Rawa Badak Utara, Kecamatan Koja, Kota Adm. Jakarta Utara, Dki Jakarta",-6.11766,106.90635,kecamatan,3175,3175040
S18065,SPPG Sumbawa Tarano Labuhan Bontong 2,NUSA TENGGARA BARAT,SUMBAWA,TARANO,LABUHAN BONTONG,"Dusun Tiu Sangat Rt/Rw 014/005, Labuhan Bontong, Tarano, Kabupaten Sumbawa, Nusa Tenggara Barat",-8.72745,118.18248,kecamatan,5204,5204141
S18066,SPPG Lebak Sobang Majasari,BANTEN,LEBAK,SOBANG,MAJASARI,"Kampung Maja Desa Majasari Rt 3 Rw 5, Kec. Sobang, Kab. Lebak,Banten",-6.65,106.21667,kabkota,3602,3602111
S18067,SPPG Kota Bogor Tanah Sareal Kayu Manis 3,JAWA BARAT,KOTA BOGOR,TANAH SAREAL,KAYU MANIS,"Kampung Sumur Makmur Rt.07 Rw.03, Kayu Manis, Kecamatan Tanah Sareal, Kota Bogor, Jawa Barat",-6.5515,106.78834,kecamatan,3271,3271060
